clean,corrupt,predict,corrupt_labels
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Afghanistan corresponds to",Chisinau,Kabul
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Albania corresponds to",Chisinau,Tirana
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Algeria corresponds to",Chisinau,Algiers
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Azerbaijan corresponds to",Chisinau,Baku
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Bahamas corresponds to",Chisinau,Nassau
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Bahrain corresponds to",Chisinau,Manama
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Barbados corresponds to",Chisinau,Bridgetown
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Bermuda corresponds to",Chisinau,Hamilton
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Bolivia corresponds to",Chisinau,Sucre
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Bulgaria corresponds to",Chisinau,Sofia
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Burundi corresponds to",Chisinau,Bujumbura
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Cameroon corresponds to",Chisinau,Yaoundé
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Colombia corresponds to",Chisinau,Bogotá
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Comoros corresponds to",Chisinau,Moroni
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Croatia corresponds to",Chisinau,Zagreb
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Dominica corresponds to",Chisinau,Roseau
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Eritrea corresponds to",Chisinau,Asmara
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Estonia corresponds to",Chisinau,Tallinn
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Gambia corresponds to",Chisinau,Banjul
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Gibraltar corresponds to",Chisinau,Gibraltar
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Greece corresponds to",Chisinau,Athens
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Honduras corresponds to",Chisinau,Tegucigalpa
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Indonesia corresponds to",Chisinau,Jakarta
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Iraq corresponds to",Chisinau,Baghdad
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Jamaica corresponds to",Chisinau,Kingston
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Kosovo corresponds to",Chisinau,Pristina
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Lebanon corresponds to",Chisinau,Beirut
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Lesotho corresponds to",Chisinau,Maseru
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Liberia corresponds to",Chisinau,Monrovia
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Liechtenstein corresponds to",Chisinau,Vaduz
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Macedonia corresponds to",Chisinau,Skopje
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Maldives corresponds to",Chisinau,Malé
"If Abkhazia corresponds to Sukhumi, then Moldova corresponds to","If Abkhazia corresponds to Sukhumi, then Mongolia corresponds to",Chisinau,Ulaanbaatar
