clean,corrupt,predict,corrupt_labels
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Oranjestad, then Nigeria corresponds to",Abuja,Oranjestad
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Bridgetown, then Nigeria corresponds to",Abuja,Bridgetown
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Thimphu, then Nigeria corresponds to",Abuja,Thimphu
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Brasília, then Nigeria corresponds to",Abuja,Brasília
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Bujumbura, then Nigeria corresponds to",Abuja,Bujumbura
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Bogotá, then Nigeria corresponds to",Abuja,Bogotá
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Willemstad, then Nigeria corresponds to",Abuja,Willemstad
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Bishkek, then Nigeria corresponds to",Abuja,Bishkek
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Vilnius, then Nigeria corresponds to",Abuja,Vilnius
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Luxembourg, then Nigeria corresponds to",Abuja,Luxembourg
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Lilongwe, then Nigeria corresponds to",Abuja,Lilongwe
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Chisinau, then Nigeria corresponds to",Abuja,Chisinau
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Kathmandu, then Nigeria corresponds to",Abuja,Kathmandu
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Ngerulmud, then Nigeria corresponds to",Abuja,Ngerulmud
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Bratislava, then Nigeria corresponds to",Abuja,Bratislava
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Ljubljana, then Nigeria corresponds to",Abuja,Ljubljana
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Khartoum, then Nigeria corresponds to",Abuja,Khartoum
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Dushanbe, then Nigeria corresponds to",Abuja,Dushanbe
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Tiraspol, then Nigeria corresponds to",Abuja,Tiraspol
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Ashgabat, then Nigeria corresponds to",Abuja,Ashgabat
"If Abkhazia corresponds to Sukhumi, then Nigeria corresponds to","If Abkhazia corresponds to Tashkent, then Nigeria corresponds to",Abuja,Tashkent
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Luanda, then Guam corresponds to",Hagåtña,Luanda
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Vienna, then Guam corresponds to",Hagåtña,Vienna
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Baku, then Guam corresponds to",Hagåtña,Baku
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Manama, then Guam corresponds to",Hagåtña,Manama
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Brussels, then Guam corresponds to",Hagåtña,Brussels
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Sucre, then Guam corresponds to",Hagåtña,Sucre
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Ottawa, then Guam corresponds to",Hagåtña,Ottawa
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Santiago, then Guam corresponds to",Hagåtña,Santiago
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Beijing, then Guam corresponds to",Hagåtña,Beijing
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Moroni, then Guam corresponds to",Hagåtña,Moroni
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Copenhagen, then Guam corresponds to",Hagåtña,Copenhagen
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Roseau, then Guam corresponds to",Hagåtña,Roseau
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Cairo, then Guam corresponds to",Hagåtña,Cairo
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Suva, then Guam corresponds to",Hagåtña,Suva
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Berlin, then Guam corresponds to",Hagåtña,Berlin
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Accra, then Guam corresponds to",Hagåtña,Accra
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Athens, then Guam corresponds to",Hagåtña,Athens
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Nuuk, then Guam corresponds to",Hagåtña,Nuuk
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Georgetown, then Guam corresponds to",Hagåtña,Georgetown
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Budapest, then Guam corresponds to",Hagåtña,Budapest
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Baghdad, then Guam corresponds to",Hagåtña,Baghdad
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Dublin, then Guam corresponds to",Hagåtña,Dublin
"If Afghanistan corresponds to Kabul, then Guam corresponds to","If Afghanistan corresponds to Jerusalem, then Guam corresponds to",Hagåtña,Jerusalem
